
Sachau 322	PPN66400010X	http://resolver.staatsbibliothek-berlin.de/SBB000055D700000000			Evangeliarium nach der Ḥarḳlensis, zum Teil auch nach der Peshiṭtá
Sachau 196	PPN664001289	http://resolver.staatsbibliothek-berlin.de/SBB000055A900000000			Anaphora
Sachau 45	PPN66767960X	http://resolver.staatsbibliothek-berlin.de/SBB00005C6200000000			Legenden
Sachau 12	PPN669222658	http://resolver.staatsbibliothek-berlin.de/SBB0000642E00000000			Syrische Kirchengeschichte
Sachau 222	PPN684923882	http://resolver.staatsbibliothek-berlin.de/SBB0000749500000000		1881	Acta Sanctorum
Sachau 62	PPN689264429	http://resolver.staatsbibliothek-berlin.de/SBB00007EEE00000000		1838	Erklärung der Messe
Sachau 102	PPN689266340	http://resolver.staatsbibliothek-berlin.de/SBB00007EEF00000000	1800 1899	1800 1899	Aufsätze
Sachau 9	PPN716365065	http://resolver.staatsbibliothek-berlin.de/SBB0000896500000000		1695	Legenden
Sachau 87	PPN72427801X	http://resolver.staatsbibliothek-berlin.de/SBB00009FA800000000		1845	Sammelhandschrift
Sachau 233	PPN724278206	http://resolver.staatsbibliothek-berlin.de/SBB00009FA600000000		1882	Durikjatha
Sachau 232	PPN72427832X	http://resolver.staatsbibliothek-berlin.de/SBB00009FA500000000		1882	Durikjatha
Sachau 109	PPN724278729	http://resolver.staatsbibliothek-berlin.de/SBB00009FA700000000		1730	Legenden
Mss simulata orientalia 5	PPN730121836	http://resolver.staatsbibliothek-berlin.de/SBB0000AD1D00000000	0400 0499	0400 0499	Syrische Sammelhandschrift u.a. Ecclesiastes-Kommentar von Theodor von Mopsuestia
Diez A oct. 175	PPN730219194	http://resolver.staatsbibliothek-berlin.de/SBB0000B09F00000000		1204	Evangelien nach der Peshitta
Sachau 24	PPN730219755	http://resolver.staatsbibliothek-berlin.de/SBB0000B09E00000000	1100 1199	1100 1199	Neues Testament nach der Peshitta - Nestorianischen Ursprungs
Sachau 21	PPN730220818	http://resolver.staatsbibliothek-berlin.de/SBB0000B0A000000000		1734	Das Paradies Eden
Sachau 152	PPN730222616	http://resolver.staatsbibliothek-berlin.de/SBB0000B09D00000000		1280	Sammlung von Anaphoren oder Canones missae
Sachau 185	PPN730223124	http://resolver.staatsbibliothek-berlin.de/SBB0000B09C00000000		1280	Sammlung von Anaphoren oder Canones missae
Sachau 355	PPN730224244	http://resolver.staatsbibliothek-berlin.de/SBB0000B0A400000000	1400 1499	1400 1499	Bruchstück einer Sammlung kirchlicher Poesien für das ganze Jahr
Sachau 100	PPN730225240	http://resolver.staatsbibliothek-berlin.de/SBB0000B0A500000000	1400 1499	1400 1499	Sammlung von liturgischen Schriften, die zum größten Teil aus Gesängen bestehen
Jc 1780/60	PPN730226565	http://resolver.staatsbibliothek-berlin.de/SBB0000B0E400000000		1863	Ktaba d-hakimuta
Bh 3432	PPN730232867	http://resolver.staatsbibliothek-berlin.de/SBB0000B0A800000000		1856	Giʾagropya wa-kroniqon d-haqyat qadišta
Bu 1961	PPN730242404	http://resolver.staatsbibliothek-berlin.de/SBB0000B0E300000000		1847	Hyarna ba-mgaḥta d-sahdwata men ktabe qadiše
Bh 3424/24	PPN730244229	http://resolver.staatsbibliothek-berlin.de/SBB0000B0E200000000		1850	Geographie von Palästina und Leben Christi
Sachau 230	PPN731636724	http://resolver.staatsbibliothek-berlin.de/SBB0000B11E00000000		1882	Geschichte der zehn Vezire
Sachau 144	PPN731637348	http://resolver.staatsbibliothek-berlin.de/SBB0000B11D00000000		1881	Buch Esther übersetzt durch Jeremias Schamir in den Dialekt von Alkosch
Sachau 164	PPN731639448	http://resolver.staatsbibliothek-berlin.de/SBB0000B2F800000000		1881	Sammelhandschrift - Arabisch und Syrisch
Sachau 146	PPN731644239	http://resolver.staatsbibliothek-berlin.de/SBB0000B11A00000000		1880	17 Anekdoten im Syrischen Dialekt von Alḳosch
Sachau 142	PPN731644689	http://resolver.staatsbibliothek-berlin.de/SBB0000B11900000000		1881	Apostelgeschichte Kap. 1-10, übersetzt durch Jeremias Schamir (in den Dialekt von Alḳôsch)
Sachau 143	PPN731649656	http://resolver.staatsbibliothek-berlin.de/SBB0000B11700000000		1881	Die ersten zehn Kapitel der Genesis, übersetzt durch Jeremias Schamir in den Dialekt von ʿAnkâwâ nach der Peschitṭâ
Sachau 133	PPN73165059X	http://resolver.staatsbibliothek-berlin.de/SBB0000B11400000000		1881	Psalmen 1-20, übersetzt durch Jeremias Schamir in den Dialekt von ʿAnkâwâ
Sachau 223	PPN731651669	http://resolver.staatsbibliothek-berlin.de/SBB0000B11F00000000		1882	Sammlung längerer Gedichte, sogenannter Dûrikjâthâ im Dialekt von Alḳosch, von verschiedenen Dichtern aus dem Ende des 16. und aus dem 17. Jahrhundert
Sachau 111	PPN735187681	http://resolver.staatsbibliothek-berlin.de/SBB0000B90F00000000	1300 1399	1300 1399	Sammelband hauptsächlich von monastischen Schriften
Sachau 249	PPN739696246	http://resolver.staatsbibliothek-berlin.de/SBB0000C3E600000000	1800 1899	1800 1899	Genesis, Kap. 1-10
Ms. or. fol. 13	PPN739951084	http://resolver.staatsbibliothek-berlin.de/SBB0000CDF600000000	1500 1599	1500 1599	Briefe
Bu 1961	PPN742279553	http://resolver.staatsbibliothek-berlin.de/SBB0000D1EA00000000		1850	Ketābā de-zamrajātā qaddis̆e
Sachau 302	PPN742544427	http://resolver.staatsbibliothek-berlin.de/SBB0000D23B00000000	0600 0699	0600 0699	Vita Monastica
Ms. or. oct. 1257	PPN749838965	http://resolver.staatsbibliothek-berlin.de/SBB0000E17F00000000		1869	Märtyrerbiographien
Ms. or. oct. 1130	PPN756925274	http://resolver.staatsbibliothek-berlin.de/SBB0000ED0600000000		1815	Tašʿīṯā ḏ-mārt Marjam ṭūḇā nāitā ʾemmeh da-ms̆īḥā p̄ārōqan
Phillipps 1388	PPN771905106	http://resolver.staatsbibliothek-berlin.de/SBB0001435000000000	0400 0499	0400 0499	Testamentum Novum
Sachau 14	PPN77190570X	http://resolver.staatsbibliothek-berlin.de/SBB0001435100000000	0800 0899	0800 0899	Evangelienharmonie
Sachau 321	PPN771906307	http://resolver.staatsbibliothek-berlin.de/SBB0001435300000000	0700 0799	0700 0799	Anthologie von Lebensbeschreibungen und Schriften berühmter Männer der miaphysitischen und der älteren Kirche
Ms. or. quart. 528	PPN771907508	http://resolver.staatsbibliothek-berlin.de/SBB0001435500000000	0400 0499	0400 0499	Evangelia
Sachau 312	PPN777536811	http://resolver.staatsbibliothek-berlin.de/SBB00014E9500000000		1680	Syrische Sammelhandschrift
Petermann I 23	PPN783896557	http://resolver.staatsbibliothek-berlin.de/SBB0001587800000000		1374	Liber directionum
	PPN783898983	http://resolver.staatsbibliothek-berlin.de/SBB0001587D00000000	[ca. 13. Jh.]	12XX	Evangelia
Sachau 304-1	PPN783899238	http://resolver.staatsbibliothek-berlin.de/SBB0001587D00010000	1200 1299 [13. Jh.]	1200 1299	Evangelia
Sachau 304-2	PPN783899599	http://resolver.staatsbibliothek-berlin.de/SBB0001587D00020000	1200 1299 [13. Jh.]	1200 1299	Evangelia
Sachau 304-3	PPN783899688	http://resolver.staatsbibliothek-berlin.de/SBB0001587D00030000	1200 1299 [13. Jh.]	1200 1299	Evangelia
Sachau 220	PPN783901011	http://resolver.staatsbibliothek-berlin.de/SBB0001588000000000	0700 0799 [8. oder 9. Jh.]	0700 0799	Homilien
Sachau 107	PPN786133325	http://resolver.staatsbibliothek-berlin.de/SBB00015A8400000000	1800 1899 [19. Jh.]	1800 1899	Anthologie
Ms. or. oct.1425	PPN786312173	http://resolver.staatsbibliothek-berlin.de/SBB00015AA300000000		1668	Syrische Gebete  und religiöse Lieder
Sachau 165	PPN79128011X	http://resolver.staatsbibliothek-berlin.de/SBB000165A800000000	1300 1399 [ca. 13.Jh.]	1300 1399	Anthologie, unvollständig zu Anfang und Ende, angelegt von einem Jakobitischen Geistlichen
Sachau 311	PPN794235468	http://resolver.staatsbibliothek-berlin.de/SBB00016B4F00000000	1600 1699	1600 1699	Kommentar zum Neuen Testament
Petermann I 17	PPN79735445X	http://resolver.staatsbibliothek-berlin.de/SBB0001708800000000	2083 [1772]	1772	Syrische Grammatik
Sachau 328	PPN797356150	http://resolver.staatsbibliothek-berlin.de/SBB0001708900000000		1884	Syrische Grammatik
Petermann I 18	PPN797356797	http://resolver.staatsbibliothek-berlin.de/SBB0001708A00000000		1851	Syrische Grammatik
Petermann I 20	PPN79735736X	http://resolver.staatsbibliothek-berlin.de/SBB0001708B00000000	1800 1899 [19. Jh.]	1800 1899	Syrische Grammatik
Sachau 130	PPN797357963	http://resolver.staatsbibliothek-berlin.de/SBB0001708C00000000			Syrische Sammelhandschrift
Sachau 216	PPN797358536	http://resolver.staatsbibliothek-berlin.de/SBB0001708D00000000			Syrische Sammelhandschrift
Sachau 39	PPN797359036	http://resolver.staatsbibliothek-berlin.de/SBB0001708E00000000		1777	Syrische Sammelhandschrift
Sachau 168	PPN797366784	http://resolver.staatsbibliothek-berlin.de/SBB0001708F00000000	2054 [1743]	1743	Syrische Grammatik
Sachau 338	PPN82319115X	http://resolver.staatsbibliothek-berlin.de/SBB00019A5100000000	1800 1899 [19. Jh.]	1800 1899	Salomo-Erzählung
Ms. or. oct. 3961	PPN826117538	http://resolver.staatsbibliothek-berlin.de/SBB00019D7300000000			[Geschichte Libanons]
Petermann I 24	PPN833186825	http://resolver.staatsbibliothek-berlin.de/SBB0001ACD700000000	[ca. 1400-1450?]	1400 1450	Syrische Sammelhandschrift
Sachau 174	PPN858165996	http://resolver.staatsbibliothek-berlin.de/SBB0001CFD900000000		1881	Gedichte
Sachau 175	PPN85816759X	http://resolver.staatsbibliothek-berlin.de/SBB0001CFDA00000000		1881	Gedichte
Sachau 176	PPN858167816	http://resolver.staatsbibliothek-berlin.de/SBB0001CFDB00000000		1881	Gedichte
Ms. or. quart. 1051	PPN85947948X	http://resolver.staatsbibliothek-berlin.de/SBB0001D19400000000		1705	Sammlung von Heiligenlegenden
Sachau 210	PPN86182038X	http://resolver.staatsbibliothek-berlin.de/SBB0001D6B200000000	1300 1399 13XX [14. Jh.]	1300 1399	Chronicon
Ms. or. quart. 580	PPN862442001	http://resolver.staatsbibliothek-berlin.de/SBB0001D76200000000		1850	Kirchliche Gesänge für verschiedene Zeiten und Gelegenheiten
Sachau 162	PPN862950937	http://resolver.staatsbibliothek-berlin.de/SBB0001D88800000000	1400 1499 [15.-16.Jh.]	1400 1499	Sammlung von Gedichten, Gebeten, Sentenzen
Sachau 339	PPN862951585	http://resolver.staatsbibliothek-berlin.de/SBB0001D88900000000	1800 1899 [19. Jh.]	1800 1899	Legende vom weisen Aḥiḳar oder Ḥiḳar
Sachau 336	PPN862954495	http://resolver.staatsbibliothek-berlin.de/SBB0001D88C00000000		1883	Sammlung von Gedichten, Hochzeitsliedern und Geschichten
Sachau 10	PPN867999683	http://resolver.staatsbibliothek-berlin.de/SBB0001DF2100000000	1600 1699 [17. Jh.?]	1600 1699	Behira-Legende [Fragment]
Sachau 8	PPN868000019	http://resolver.staatsbibliothek-berlin.de/SBB0001DF2200000000		1562	Glaubenslehre
Ms. or. quart. 803	PPN86800037X	http://resolver.staatsbibliothek-berlin.de/SBB0001DF2400000000	1700 1799 [18. Jh.?]	1700 1799	Psalmen <nach Pschitta>, Gesänge
Ms. or. quart. 802	PPN868001082	http://resolver.staatsbibliothek-berlin.de/SBB0001DF2700000000	1700 1799 [18. Jh.]	1700 1799	Eine Sammlung von Gedichten, Erzählungen und Notizen verschiedenster Art
Sachau 19	PPN868652326	http://resolver.staatsbibliothek-berlin.de/SBB0001E04E00000000	[1802?]	1802	Glaubensgespräche über die Lehre und die Praxis des jakobitischen Christentum
Sachau 53	PPN868653462	http://resolver.staatsbibliothek-berlin.de/SBB0001E04F00000000	[19. Jh.;1808-1839]	1808 1839	Karschuni-Kalender der Jakobiten im Ṭūr-ʿAbdīn, genannt Taqlab
Sachau 60	PPN868733830	http://resolver.staatsbibliothek-berlin.de/SBB0001E08A00000000	1800 1899 [nach 1859]	1800 1899	Syrische Sammelhandschrift
Hs. or. 14667	PPN869492683	http://resolver.staatsbibliothek-berlin.de/SBB0001E19100000000		1684	Syrische Sammelhandschrift
Sachau 200	PPN871612011	http://resolver.staatsbibliothek-berlin.de/SBB0001E67300000000		1883	Materialien für das Studium des Fellihi und Kurdisch, Geschichten, Mitteilungen über Jeziden und die Ostsyrer.
Sachau 118	PPN871613123	http://resolver.staatsbibliothek-berlin.de/SBB0001E67500000000	1700 1799 [18. Jh.]	1700 1799	Bruchstücke verschiedener Schriften
Sachau 145	PPN871613484	http://resolver.staatsbibliothek-berlin.de/SBB0001E67700000000		1880	Eine Sammlung von 58 kleinen volkstümlichen Erzählungen, Anekdoten, geschrieben von Jeremias im Dialekt von 'Ankdawa
Sachau 248	PPN871615436	http://resolver.staatsbibliothek-berlin.de/SBB0001E67D00000000	1800 1899 [19. Jh.]	1800 1899	Psalmen 1-20
Petermann I 10	PPN871616017	http://resolver.staatsbibliothek-berlin.de/SBB0001E68100000000		1645	Horreum mysteriorum
Sachau 131	PPN871988925	http://resolver.staatsbibliothek-berlin.de/SBB0001E79300000000		1862	Apocrypha
Sachau 61	PPN872482103	http://resolver.staatsbibliothek-berlin.de/SBB0001E8C500000000		1652	Gedichte und Schriften von dem Bischof Dionys von Amid oder Jacob Bar Ṣalībī, Barhebraeus und Patriarch Johannes Bar Maʿděnī.
Sachau 71	PPN872484289	http://resolver.staatsbibliothek-berlin.de/SBB0001E8C800000000	1700 1799 [gegen Ende d. 18. oder Anfang d. 19. Jh.]	1700 1799	Werke über Astrologie
Ms. or. fol. 1201	PPN872485900	http://resolver.staatsbibliothek-berlin.de/SBB0001E8CA00000000		1725	Ein System der Theologie von einem ungenannten Verfasser in zwölfsilbigen Versen. Unvollständig am Anfang und nicht ohne Lücken im Innern. Es besteht aus Text und Kommentar.
Sachau 160	PPN872888304	http://resolver.staatsbibliothek-berlin.de/SBB0001E99F00000000		1769	Buch der Taube und Sammlung syrischer Gebete
Sachau 159	PPN872889084	http://resolver.staatsbibliothek-berlin.de/SBB0001E9A100000000		1795	Kollektanband von medizinischen Schriften, Notizen, Rezepten und Prognostikationen und einem astrologischen Jahreskalender
Sachau 64	PPN872889572	http://resolver.staatsbibliothek-berlin.de/SBB0001E9A200000000	1600 1699 [17. Jh.?]	1600 1699	Liturgische Texte und Kirchenlieder mit einer unvollständigen Ergänzung von Jeremias Schamir vom Jahr 1881
Sachau 242	PPN872890627	http://resolver.staatsbibliothek-berlin.de/SBB0001E9A300000000	1800 1899 [19. Jh.]	1800 1899	Notiz über Ṣaur, Geschichte des Hl. Samuel aus Ṣaur und des Hl. Simeon aus Ḳartāmīn.
Sachau 241	PPN87289102X	http://resolver.staatsbibliothek-berlin.de/SBB0001E9A400000000	1800 1899 [19. Jh.]	1800 1899	Legende des Hl. Ābā
Sachau 88	PPN872892492	http://resolver.staatsbibliothek-berlin.de/SBB0001E9A500000000	1600 1699 [17. Jh.?]	1600 1699	Rätsel und Prognostikationen
Sachau 73	PPN872892786	http://resolver.staatsbibliothek-berlin.de/SBB0001E9A600000000	1800 1899 [19. Jh.]	1800 1899	Werk über Therapie (oder Teile eines solchen), geordnet nach den Krankheiten der einzelnen Körperteile, nach äußeren und inneren Krankheiten mit einer Beschreibung derselben, Angaben über ihre Ursachen, die Symptome, die Behandlung, die anzuwendenden Medikamente und deren Zubereitung.
